Date,Article Count,Mean Author Count,Std Author Count,Min Author Count,25% Percentile,50% Percentile,75% Percentile,Max Author Count
2021-01-17,425659.0,5.5633053688515925,14.302564821466534,1.0,2.0,4.0,7.0,3572.0
2021-01-16,424721.0,5.557949807049805,14.311012245228651,1.0,2.0,4.0,7.0,3572.0
2021-01-15,422331.0,5.5931342951381735,14.345719473422012,1.0,2.0,4.0,7.0,3572.0
2021-01-14,419844.0,5.627159135297872,14.383224360869498,1.0,2.0,4.0,7.0,3572.0
2021-01-13,418570.0,5.62918030436964,14.402223654521752,1.0,2.0,4.0,7.0,3572.0
2021-01-12,417142.0,5.628718757641283,14.430824240964713,1.0,2.0,4.0,7.0,3572.0
2021-01-11,416676.0,5.626863558256295,14.429172272078976,1.0,2.0,4.0,7.0,3572.0
2021-01-10,416199.0,5.627860710861872,14.436439957755876,1.0,2.0,4.0,7.0,3572.0
2021-01-09,414020.0,5.626993865030675,14.471086872433784,1.0,2.0,4.0,7.0,3572.0
2021-01-08,412996.0,5.626146500208234,14.483098258242286,1.0,2.0,4.0,7.0,3572.0
2021-01-07,411161.0,5.623874832486544,14.516156950647364,1.0,2.0,4.0,7.0,3572.0
2021-01-06,401416.0,5.631668892121889,14.666183943522736,1.0,2.0,4.0,7.0,3572.0
2021-01-05,400998.0,5.631377213851441,14.66742481954376,1.0,2.0,4.0,7.0,3572.0
2021-01-04,400427.0,5.631248642074586,14.676316546917183,1.0,2.0,4.0,7.0,3572.0
2021-01-03,400398.0,5.63029535612066,14.673968262659317,1.0,2.0,4.0,7.0,3572.0
2021-01-02,400398.0,5.6311295261215095,14.676744543967777,1.0,2.0,4.0,7.0,3572.0
2021-01-01,400119.0,5.630347471627191,14.678491874532344,1.0,2.0,4.0,7.0,3572.0
2020-12-31,400119.0,5.631182223288572,14.681269232532422,1.0,2.0,4.0,7.0,3572.0
2020-12-30,397380.0,5.639395540792189,14.729800578718375,1.0,2.0,4.0,7.0,3572.0
2020-12-29,397246.0,5.638236760093242,14.726053822063136,1.0,2.0,4.0,7.0,3572.0
2020-12-28,396800.0,5.637152217741935,14.73051019719198,1.0,2.0,4.0,7.0,3572.0
2020-12-25,395792.0,5.638416137769333,14.529211822784124,1.0,2.0,4.0,7.0,3572.0
2020-12-24,395750.0,5.63803916614024,14.529126226899091,1.0,2.0,4.0,7.0,3572.0
2020-12-23,394711.0,5.636491002277616,14.545081433201045,1.0,2.0,4.0,7.0,3572.0
2020-12-22,392968.0,5.62713503389589,14.258902649305018,1.0,2.0,4.0,7.0,3572.0
2020-12-21,392432.0,5.625746626167081,14.26997055362766,1.0,2.0,4.0,7.0,3572.0
2020-12-20,392088.0,5.626152802432107,14.280953924104802,1.0,2.0,4.0,7.0,3572.0
2020-12-19,391067.0,5.625276487149261,14.287837894485511,1.0,2.0,4.0,7.0,3572.0
2020-12-18,390087.0,5.62036417517118,14.272061003547163,1.0,2.0,4.0,7.0,3572.0
2020-12-17,388047.0,5.615696036820282,14.304500504482371,1.0,2.0,4.0,7.0,3572.0
2020-12-13,381817.0,5.638263880340582,14.404985298596303,1.0,2.0,4.0,7.0,3572.0
2020-12-12,379974.0,5.632745924721165,14.429399940119865,1.0,2.0,4.0,7.0,3572.0
2020-12-11,379579.0,5.632424343812487,14.434877051726245,1.0,2.0,4.0,7.0,3572.0
2020-12-10,378245.0,5.634395695911381,14.459510373973838,1.0,2.0,4.0,7.0,3572.0
2020-12-09,377308.0,5.634092041515155,14.469867894457604,1.0,2.0,4.0,7.0,3572.0
2020-12-08,376062.0,5.626011136461541,14.486391531985594,1.0,2.0,4.0,7.0,3572.0
2020-12-07,375094.0,5.626075063850662,14.502252154810382,1.0,2.0,4.0,7.0,3572.0
2020-12-06,374892.0,5.6270365865369225,14.507558124882031,1.0,2.0,4.0,7.0,3572.0
2020-12-05,374009.0,5.6220465282921,14.517428140174742,1.0,2.0,4.0,7.0,3572.0
2020-12-04,373557.0,5.621741795763431,14.526840146028984,1.0,2.0,4.0,7.0,3572.0
2020-12-03,372634.0,5.622943692738719,14.540001969119622,1.0,2.0,4.0,7.0,3572.0
2020-12-01,370298.0,5.630046611107811,14.575839025102995,1.0,2.0,4.0,7.0,3572.0
2020-11-29,368618.0,5.648354122696125,14.607722117024872,1.0,2.0,4.0,7.0,3572.0
2020-11-28,367647.0,5.64080762252922,14.63140830821796,1.0,2.0,4.0,7.0,3572.0
2020-11-27,367236.0,5.64044102430045,14.63840263991983,1.0,2.0,4.0,7.0,3572.0
2020-11-24,362491.0,5.638631028080697,14.705208331439849,1.0,2.0,4.0,7.0,3572.0
2020-11-23,362131.0,5.638774366182403,14.712153481598405,1.0,2.0,4.0,7.0,3572.0
2020-11-22,361513.0,5.638939678517785,14.723088658846333,1.0,2.0,4.0,7.0,3572.0
2020-11-20,359314.0,5.635021179247121,14.76167674583962,1.0,2.0,4.0,7.0,3572.0
2020-11-19,358348.0,5.635689329925101,14.77931540635464,1.0,2.0,4.0,7.0,3572.0
2020-11-18,357672.0,5.633860072915968,14.785852695985463,1.0,2.0,4.0,7.0,3572.0
2020-11-17,356384.0,5.6278115740325045,14.793913382788288,1.0,2.0,4.0,7.0,3572.0
2020-11-16,355788.0,5.626263392806952,14.802910503899774,1.0,2.0,4.0,7.0,3572.0
2020-11-15,355548.0,5.627034886991349,14.807330656311146,1.0,2.0,4.0,7.0,3572.0
2020-11-14,354504.0,5.62238507887076,14.823751285448312,1.0,2.0,4.0,7.0,3572.0
2020-11-13,346259.0,5.6693313386800055,14.981370563712122,1.0,2.0,4.0,7.0,3572.0
2020-11-12,345673.0,5.668218229367061,14.9892729558798,1.0,2.0,4.0,7.0,3572.0
2020-11-10,342764.0,5.663803666662777,15.042600381396907,1.0,2.0,4.0,7.0,3572.0
2020-11-09,342120.0,5.6645241435753535,15.054370076858268,1.0,2.0,4.0,7.0,3572.0
2020-11-08,341713.0,5.666474497604715,15.062683918877871,1.0,2.0,4.0,7.0,3572.0
2020-11-07,340544.0,5.661600263108438,15.07966283956247,1.0,2.0,4.0,7.0,3572.0
